district_name_en,district_name,Voters,Valid,Invalid,Percentage,Yes,No,yesp,nop
Erralm 1,أول الرمل,42.2,57.8,266202,101276,1273,38.5,42751,58525
Erraml 2,ثان الرمل,68.1,31.9,343048,119871,1622,35.4,81639,38232
El Montazah 1,أول المنتزه,55.7,44.3,561050,209049,2368,37.7,116406,92643
El Montazah 2,ثان المنتزه,59.2,40.8,306128,108387,1342,35.8,64132,44255
El Amrya 1,أول العامرية,85.1,14.9,148909,46167,722,31.5,39303,6864
El Amrya 2,ثان العامرية,89.7,10.3,88581,25688,481,29.5,23033,2655
Sidi Gaber,سيدى جابر,36.4,63.6,205836,89367,875,43.8,32540,56827
Bab Sharq,باب شرق,39.4,60.6,208322,80113,1201,39,31572,48541
Muharram Beik,محرم بك,52.7,47.3,317850,113765,1654,36.3,59911,53854
El Attareen,العطارين,37.9,62.1,56914,21335,348,38.1,8096,13239
El Mnshya,المنشية,35.7,64.3,33609,11933,236,36.2,4262,7671
karmooz,كرموز,54.1,45.9,134536,40248,853,30.6,21773,18475
Ellebben,اللبان,47,53,52825,15303,360,29.7,7198,8105
El Gomrok,الجمرك,35.4,64.6,114244,38640,838,34.6,13694,24946
Mina El Basal,مينا البصل,66.4,33.6,232172,75291,1359,33,49995,25296
Eddekhila,الدخيلة,66.9,33.1,231484,81821,1088,35.8,54752,27069
Borg El Arab,برج العرب,83.7,16.3,46060,15437,263,34.1,12918,2519
Total,الإجمالي,55.6,44.4,3347770,1193691,16883,36.2,663975,529716
