district_name_en,district_name,yesp,nop,Voters,Valid,Invalid,Percentage,Yes,No
Al Wahat Al Kharga,الواحات الخارجة,80.9,19.1,54376,19721,265,36.8,15950,3771
Al Wahat Al Dakhla,م الواحات الداخلة,91.5,8.5,56055,16956,251,30.7,15515,1441
El Farafrah district,مركز الفرافرة,91.4,8.6,16791,4877,97,29.6,4460,417
Markaz Baris,مركز باريس,91.4,8.6,7691,2419,25,31.8,2210,209
Balat district,مركز بلاط,96.2,3.8,8671,2653,27,30.9,2552,101
Total,الإجمالي,87.3,12.7,143584,46626,665,32.9,40687,5939
