district_name_en,district_name,Voters,Valid,Invalid,Percentage,Yes,No,yesp,nop
El Suez,السويس,52,48,54883,23841,329,44,12406,11435
El Arbeen,الأربعين,71.8,28.2,168526,61525,837,37,44169,17356
Ataka,عتاقة,71.8,28.2,7885,3400,22,43.4,2440,960
Faysal,فيصل,71,29,100508,40304,435,40.5,28597,11707
El Genayen,الجناين,87.3,12.7,55720,18833,257,34.3,16449,2384
Total,الإجمالي,70.4,29.6,387522,147903,1880,38.7,104061,43842
