district_name_en,district_name,Voters,Valid,Invalid,Percentage,Yes,No,yesp,nop
Aswan district,مركز أسوان,82.9,17.1,43246,10405,196,24.5,8629,1776
Edfu district,مركز إدفو,79,21,264786,53047,1075,20.4,41895,11152
Kum Imbu district,مركز كوم أمبو,79.2,20.8,207842,43881,863,21.5,34771,9110
Nasr el-Nuba district,مركز نصر النوبة,82.5,17.5,64235,12847,323,20.5,10597,2250
daraw district,مركز دراو,82.8,17.2,75349,15020,331,20.4,12432,2588
Abu Sumbol district,مركز ابوسمبل,74.9,25.1,2273,565,4,25,423,142
Aswan 2,ثان أسوان,76.4,23.6,101433,26207,415,26.2,20012,6195
Aswan 1,أول أسوان,62.4,37.6,113576,32444,484,29,20261,12183
Total,الإجمالي,76.7,23.3,872740,194416,3691,22.7,149020,45396
