district_name_en,district_name,Voters,Valid,Invalid,Percentage,Yes,No,yesp,nop
Shibin El Kom,شبين الكوم,38.4,61.6,136822,60524,778,44.8,23232,37292
Shibin El Kom district,مركز شبين الكوم,45.1,54.9,250558,86600,1543,35.2,39019,47581
Ashmoun district,مركز أشمون,49.1,50.9,414587,118328,3097,29.3,58062,60266
Bajour district,مركز الباجور,51.2,48.8,202977,68823,1389,34.6,35267,33556
Shuhadaa district,مركز الشهداء,56.7,43.3,174987,57556,1296,33.6,32652,24904
Birket El Sab district,مركز بركة السبع,43.4,56.6,165548,56027,1027,34.5,24328,31699
Tala district,مركز تلا,48.7,51.3,212202,65714,1229,31.5,32010,33704
Qouesna district,مركز قويسنا,49.2,50.8,255336,91911,1753,36.7,45221,46690
Menuf district,مركز منوف,55,45,227741,69158,1730,31.1,38035,31123
Sers El Lyan,سرس الليان,43.5,56.5,38325,14173,266,37.7,6168,8005
Sadat district,مركز السادات,77.5,22.5,90838,31798,421,35.5,24652,7146
Menuf,منوف,23.1,76.9,66977,24761,422,37.6,5728,19033
Total,الإجمالي,48.9,51.1,2236898,745373,14951,34,364374,380999
