district_name_en,district_name,yesp,nop,Voters,Valid,Invalid,Percentage,Yes,No
Marsa Matrouh,مرسى مطروح,86.9,13.1,106710,38786,467,36.8,33690,5096
El Hammam,الحمام,93.7,6.3,35444,12103,111,34.5,11342,761
El Salloum,السلوم,97.4,2.6,7771,2073,30,27.1,2019,54
El Dabaa,الضبعة,97.3,2.7,20973,8424,75,40.5,8197,227
Sidi Barrani,سيدى برانى,98.7,1.3,16997,5013,110,30.1,4946,67
Siwa,سيوة,98.9,1.1,13049,5925,38,45.7,5861,64
El Alamein,العلمين,94.2,5.8,4185,1668,11,40.1,1572,96
 Negelah ,النجيلة,98.9,1.1,7366,2638,21,36.1,2610,28
Total,الإجمالي,91.7,8.3,212495,76630,863,36.5,70237,6393
