district_name_en,district_name,Voters,Valid,Invalid,Percentage,Yes,No,yesp,nop
Aramant district,مركز أرمنت,79.1,20.9,94192,24505,631,26.7,19395,5110
Isna district,مركز إسنا,83,17,229946,56388,1025,25,46827,9561
Luxor,الأقصر,58.1,41.9,141176,42098,814,30.4,24462,17636
Luxor district,مركز الأقصر,85,15,86748,20932,394,24.6,17787,3145
Tiba,طيبة,92.9,7.1,39711,10711,228,27.5,9947,764
Qurna district,مركز القرنة,76.9,23.1,93236,19986,420,21.9,15361,4625
Total,الإجمالي,76.6,23.4,685009,174620,3512,26,133779,40841
