district_name_en,district_name,yesp,nop,Voters,Valid,Invalid,Percentage,Yes,No
Sohag 1,سوهاج أول,62.3,37.7,91344,30808,585,34.4,19199,11609
Sohag district,مركز سوهاج,85.2,14.8,247466,55267,1274,22.8,47103,8164
Ikhmeem district,مركز أخميم,86.7,13.3,185312,53289,1038,29.3,46212,7077
Bellina district,مركز البلينا,80.6,19.4,250382,43569,1031,17.8,35132,8437
Maraga district,مركز المراغة,82.3,17.7,193167,51075,1312,27.1,42034,9041
Munsha'a district,مركز المنشاة,82.3,17.7,190016,40577,1013,21.9,33409,7168
Dar Assalam district,مركز دار السلام,83.7,16.3,182706,33752,1203,19.1,28264,5488
Garga district,مركز جرجا,81,19,163824,28803,651,18,23324,5479
Gehina district,مركز جهينة,87.6,12.4,123642,35866,593,29.5,31415,4451
Saqatla district,مركز ساقلتة,88.7,11.3,98853,27219,637,28.2,24140,3079
Tama district,مركز طما,77.3,22.7,204565,60162,1140,30,46489,13673
Tahta district,مركز طهطا,82.5,17.5,148242,39847,1112,27.6,32858,6989
Garga,جرجا,60.2,39.8,80009,22294,417,28.4,13424,8870
Sohag 1,سوهاج ثان,46.7,53.3,66113,30213,250,46.1,14096,16117
Al Asirat district,مركز العسيرات,87.1,12.9,90051,15586,620,18,13568,2018
El Kouthar,الكوثر,75.7,24.3,131,70,0,53.4,53,17
Tahta,طهطا,64.8,35.2,77849,25149,444,32.9,16309,8840
Total,الإجمالي,78.7,21.3,2393672,593546,13320,25.4,467029,126517
