district_name_en,district_name,yesp,nop,Voters,Valid,Invalid,Percentage,Yes,No
Beni Suef,بني سويف,57.6,42.4,157070,71839,1023,46.4,41377,30462
Beni Suef district,مركز بني سويف,87.3,12.7,189032,69659,2028,37.9,60787,8872
Beni Suef el-Gedida,بنى سويف الجديدة,63.8,36.2,4109,2140,28,52.8,1365,775
El Feshn district,مركز الفشن,86.1,13.9,203849,68038,1685,34.2,58551,9487
El wasty district,مركز الواسطى,88.3,11.7,221267,86612,1963,40,76466,10146
Heracleopolis district,مركز أهناسيا,92.3,7.7,173678,60173,1656,35.6,55544,4629
Biya district,مركز ببا,88.1,11.9,208553,76975,1947,37.8,67789,9186
Samasta district,مركز سمسطا,93,7,122125,47715,1293,40.1,44357,3358
Nasser district,مركز ناصر,89.9,10.1,174595,66786,1431,39.1,60012,6774
Total,الإجمالي,84.8,15.2,1454278,549937,13054,38.7,466248,83689
