district_name_en,district_name,Voters,Valid,Invalid,Percentage,Yes,No,yesp,nop
El Genub ,الجنوب,70.2,29.8,23076,4497,142,20.1,3156,1341
Bur Fouad 2,ثان بورفؤاد,48.7,51.3,3258,1513,18,47,737,776
Al Zuhur ,الزهور,58.4,41.6,138496,50001,680,36.6,29189,20812
El Sharq,الشرق,29.8,70.2,34935,16276,119,46.9,4845,11431
El Arab,العرب,44,56,53184,20017,275,38.2,8815,11202
El Manakh,المناخ,49.5,50.5,76950,28087,393,37,13916,14171
Bur Fouad,بورفؤاد,46.6,53.4,53581,24727,296,46.7,11531,13196
El Dhawahy,الضواحي,60.3,39.7,61842,21813,375,35.9,13164,8649
Total,الإجمالي,51.1,48.9,445322,166931,2298,38,85353,81578
