district_name_en,district_name,Voters,Valid,Invalid,Percentage,Yes,No,yesp,nop
Mount Sinai,طور سيناء,62.4,37.6,25202,7724,131,31.2,4816,2908
Ras Sedr,رأس  سدر,77,23,10127,2948,54,29.6,2270,678
Abou Redis,ابورديس,75.3,24.7,8899,2140,27,24.4,1612,528
Saint Catherine,سانت كاترين,79.7,20.3,2839,837,33,30.6,667,170
Sharm el-Sheikh,شرم الشيخ,39.5,60.5,8454,2681,39,32.2,1058,1623
Dahab,دهب,63.3,36.7,5268,1592,25,30.7,1007,585
Nuweiba,نويبع,65.5,34.5,4520,1065,17,23.9,698,367
Taba,طابا,80.6,19.4,98,36,2,38.8,29,7
Total,الإجمالي,63.9,36.1,65407,19023,328,29.6,12157,6866
