district_name_en,district_name,yesp,nop,Voters,Valid,Invalid,Percentage,Yes,No
Beni Abeed district,مركز بني عبيد,56.9,43.1,78670,21793,399,28.2,12402,9391
Mahalla Damna district,مركز محلة دمنة,60.4,39.6,34845,11550,404,34.3,6981,4569
Tmy Al Amdeed district,مركز تمي الأمديد,63.1,36.9,105386,24265,477,23.5,15317,8948
Gamasa,جمصة,51.8,48.2,478,195,6,42.1,101,94
Nabruh district,مركز نبروه,63,37,156045,39788,971,26.1,25055,14733
El Kordy,الكردي,45.9,54.1,26616,6891,288,27,3164,3727
El Mansoura 1,المنصورة أول,38.3,61.7,207516,87979,1265,43,33692,54287
El Mansoura 2,المنصورة ثان,41,59,163410,62239,745,38.5,25544,36695
El Mansoura district,مركز المنصورة,58.1,41.9,329638,113081,1918,34.9,65653,47428
Aga district,مركز أجا,52.8,47.2,294345,97730,2118,33.9,51619,46111
Sanbalaween district,مركز السنبلاوين,52.6,47.4,322228,99228,1580,31.3,52239,46989
El Matrya district,مركز المطرية,80.2,19.8,88523,22961,340,26.3,18418,4543
El Manzalah district,مركز المنزلة,62.9,37.1,181422,51978,885,29.1,32678,19300
Balqas district,مركز بلقاس,52,48,319521,72142,1381,23,37482,34660
Dikirnis district,مركز دكرنس,63.4,36.6,208062,68155,1185,33.3,43180,24975
Sharbeen district,مركز شربين,63.5,36.5,256889,74929,1145,29.6,47614,27315
Talkha district,مركز طلخا,55.7,44.3,230433,73552,1413,32.5,40948,32604
Mit Ghamr,ميت غمر,34.5,65.5,96306,33325,570,35.2,11506,21819
Mit Ghamr district,مركز ميت غمر,53.3,46.7,354139,113278,2554,32.7,60355,52923
Menya Nasr district,مركز منية النصر,57.6,42.4,150151,48378,970,32.9,27866,20512
Gamalya distict,مركز الجمالية,76.6,23.4,73109,14093,180,19.5,10794,3299
Mit Selseel district,مركز ميت سلسيل,68.3,31.7,42026,12600,219,30.5,8611,3989
Total,الإجمالي,54.9,45.1,3719758,1150130,21013,31.5,631219,518911
