district_name_en,district_name,Voters,Valid,Invalid,Percentage,Yes,No,yesp,nop
Damiatta 2,ثان دمياط,56.2,43.8,83010,31617,414,38.6,17761,13856
Kafr Battikh district,مركز كفر البطيخ,75,25,60849,20761,301,34.6,15565,5196
Damietta 1,أول دمياط,46.5,53.5,68136,28562,335,42.4,13282,15280
Damietta district,مركز دمياط,67.8,32.2,220053,80973,1149,37.3,54887,26086
Farskhour district,مركز فارسكور,59.9,40.1,161359,53838,749,33.8,32226,21612
Kafr Saad district,مركز كفر سعد,72.2,27.8,148231,52848,799,36.2,38176,14672
New Damietta,دمياط الجديدة,62.3,37.7,22248,10626,87,48.2,6618,4008
Ezzarqa district,مركز الزرقا,68.9,31.1,96277,36465,484,38.4,25125,11340
Rass El Barr,رأس البر,53.4,46.6,8610,3254,36,38.2,1738,1516
Total,الإجمالي,64.4,35.6,868773,318944,4354,37.2,205378,113566
