district_name_en,district_name,Voters,Valid,Invalid,Percentage,Yes,No,yesp,nop
El Fayum,الفيوم,70.1,29.9,233960,84895,1218,36.8,59499,25396
El Fayum district,مركز الفيوم,93.6,6.4,233443,86946,2092,38.1,81379,5567
Ibshway district,مركز ابشواي,93.5,6.5,187927,62232,1691,34,58185,4047
Atsa district,مركز أطسا,92.7,7.3,308408,98686,2460,32.8,91449,7237
Snusar district,مركز سنورس,90.7,9.3,268231,91765,2225,35,83254,8511
Tamiya district,مركز طامية,94.1,5.9,189516,66130,1355,35.6,62250,3880
Yusuf al-Siddiq dstrict,مركز يوسف الصديق,95.2,4.8,158209,53455,1400,34.7,50874,2581
Total,الإجمالي,89.5,10.5,1579694,544109,12441,35.2,486890,57219
