district_name,C14p,C10p,Voters,workers,turnout,totalturnout,Percentage,Invalid,Valid,C14,C10
اسيوط اول,95.55,4.45,162898,215,79248,79463,48.78,4047,75416,72059,3357
اسيوط ثان,94.65,5.35,113625,155,58059,58214,51.23,3168,55046,52099,2947
مركز اسيوط,94.80,5.20,256883,317,75994,76311,29.71,4254,72057,68309,3748
مركز ابنوب,94.56,5.44,190906,243,49865,50108,26.25,3190,46918,44364,2554
مركز ابوتيج,95.19,4.81,122576,159,32286,32445,26.47,1499,30946,29456,1490
مركز البدارى,95.41,4.59,139600,225,39570,39795,28.51,1958,37837,36101,1736
مركز ساحل سليم,95.30,4.70,92040,111,31224,31335,34.04,2121,29214,27841,1373
مركز الغنايم,91.70,8.30,70454,89,16451,16540,23.48,1559,14981,13738,1243
مركز القوصيه,95.70,4.30,248966,305,85650,85955,34.52,4892,81063,77578,3485
مركز ديروط,95.79,4.21,290781,404,97784,98188,33.77,5837,92351,88459,3892
مركز صدفا,96.00,4.00,100313,139,35741,35880,35.77,1684,34196,32829,1367
مركز منفلوط,95.52,4.48,262338,329,69958,70287,26.79,3862,66425,63451,2974
مركز الفتح,95.17,4.83,154698,203,49192,49395,31.93,2697,46698,44443,2255
ابوتيج,96.22,3.78,50226,64,22843,22907,45.61,1121,21786,20963,823
