district_name,C14p,C14p,Voters,workers,turnout,totalturnout,Percentage,Invalid,Valid,C14,C10
بنها,96.91,3.09,134945,170,80471,80641,59.76,3234,77407,75014,2393
مركز بنها,98.09,1.91,269511,330,167436,167766,62.25,4976,162790,159675,3115
مركز الخانكه,97.25,2.75,202306,237,93996,94233,46.58,3770,90463,87976,2487
مركز القناطر الخيرية,98.13,1.87,245254,301,139128,139429,56.85,4148,135281,132745,2536
مركز شبين القناطر,97.71,2.29,287021,374,165378,165752,57.75,5615,160137,156468,3669
شبرا الخيمه اول,97.31,2.69,347289,434,182957,183391,52.81,7984,175407,170690,4717
شبرا الخيمه ثان,96.90,3.10,361593,418,180985,181403,50.17,8810,172593,167241,5352
مركز طوخ,97.81,2.19,324494,436,178759,179195,55.22,5842,173353,169550,3803
مركز قليوب,98.40,1.60,205409,233,119605,119838,58.34,3682,116156,114295,1861
مركز كفر شكر,98.11,1.89,109913,129,68510,68639,62.45,2330,66309,65059,1250
العبور,94.84,5.16,24140,48,12442,12490,51.74,824,11666,11064,602
قها,97.89,2.11,26485,29,16419,16448,62.10,471,15977,15640,337
الخصوص,98.13,1.87,75693,99,36929,37028,48.92,857,36171,35496,675
قليوب,97.44,2.56,88000,123,50178,50301,57.16,2139,48162,46930,1232
الخانكه,96.52,3.48,53239,78,25047,25125,47.19,1191,23934,23102,832
