district_name,C14p,C10p,Voters,workers,turnout,totalturnout,Percentage,Invalid,Valid,C14,C10
القصير,95.68,4.32,33337,93,13505,13598,40.79,576,13022,12460,562
راس  غارب,93.82,6.18,28782,86,11236,11322,39.34,826,10496,9847,649
سفاجا,96.40,3.60,37262,128,14170,14298,38.37,585,13713,13219,494
مرسى علم,94.69,5.31,7924,42,2230,2272,28.67,89,2183,2067,116
شلاتين,94.81,5.19,10234,29,2967,2996,29.27,166,2830,2683,147
اول الغردقه,96.03,3.97,50444,144,23379,23523,46.63,789,22734,21831,903
ثان الغردقه,96.17,3.83,96947,251,41904,42155,43.48,1642,40513,38963,1550
