اللجنة العامة,نسبة عبد الفتاح السيسي,نسبة حمدين صباحى,عدد المسجلين,العاملون باللجان,حضور المسجلين,إجمالي الحضور,نسبة المشاركة,الأصوات الباطلة,الأصوات الصحيحة,عبد الفتاح السيسي,حمدين صباحى
المنصوره اول,96.34,3.66,215258,380,123128,123508,57.38,5317,118191,113867,4324
المنصوره ثان,96.12,3.88,169547,267,94147,94414,55.69,4034,90380,86873,3507
مركز المنصوره,98.00,2.00,342292,617,197929,198546,58.00,5848,192698,188841,3857
مركز اجا,98.15,1.85,305121,576,183917,184493,60.47,5415,179078,175764,3314
مركز السنبلاوين,98.30,1.70,333490,699,196307,197006,59.07,4670,192336,189065,3271
مركز المطريه,97.05,2.95,91599,160,38865,39025,42.60,1435,37590,36480,1110
مركز المنزله,98.04,1.96,188957,408,91425,91833,48.60,2348,89485,87735,1750
مركز بلقاس,98.07,1.93,330576,683,181489,182172,55.11,3763,178409,174972,3437
مركز دكرنس,97.48,2.52,217012,442,112176,112618,51.89,3455,109163,106409,2754
مركز شربين,97.92,2.08,265562,509,138172,138681,52.22,3660,135021,132208,2813
مركز طلخا,97.91,2.09,238723,396,131143,131539,55.10,3940,127599,124934,2665
ميت غمر,97.88,2.12,98153,157,62168,62325,63.50,1699,60626,59343,1283
مركز ميت غمر,98.10,1.90,369616,684,225496,226180,61.19,6799,219381,215214,4167
مركز منيه النصر,98.05,1.95,156559,296,82819,83115,53.09,2217,80898,79324,1574
مركز الجماليه,98.44,1.56,76163,138,30305,30443,39.97,787,29656,29192,464
مركز ميت سلسيل,97.28,2.72,43619,65,20785,20850,47.80,618,20232,19681,551
مركز بنى عبيد,98.65,1.35,81776,160,45894,46054,56.32,1013,45041,44431,610
مركز محله دمنه,98.17,1.83,36149,73,20806,20879,57.76,606,20273,19901,372
مركز تمى الامديد,98.16,1.84,109198,232,60303,60535,55.44,1634,58901,57818,1083
جمصه,95.90,4.10,617,5,402,407,65.96,17,390,374,16
مركز نبروه,98.52,1.48,163093,288,85067,85355,52.34,1719,83636,82396,1240
الكردى,98.86,1.14,27805,44,14986,15030,54.06,217,14813,14644,169
