district_name,C14p,C14p,Voters,workers,turnout,totalturnout,Percentage,Invalid,Valid,C14,C10
دمنهور,96.58,3.42,228176,333,136710,137043,60.06,6639,130404,125941,4463
مركز دمنهور,97.54,2.46,309841,412,140033,140445,45.33,5349,135096,131768,3328
مركز ابوالمطامير,96.64,3.36,239885,292,70719,71011,29.60,2902,68109,65820,2289
مركز ابوحمص,97.15,2.85,297436,377,116148,116525,39.18,5319,111206,108033,3173
مركز الدلنجات,97.40,2.60,221923,301,88878,89179,40.18,2787,86392,84146,2246
مركز المحموديه,97.83,2.17,172572,247,83977,84224,48.81,2484,81740,79966,1774
مركزايتاى البارود,97.95,2.05,277397,389,144419,144808,52.20,4697,140111,137233,2878
مركز حوش  عيسى,96.08,3.92,163348,214,49237,49451,30.27,2686,46765,44932,1833
مركز رشيد,97.87,2.13,156674,189,76659,76848,49.05,2591,74257,72679,1578
مركز شبراخيت,98.03,1.97,168442,230,89260,89490,53.13,2729,86761,85050,1711
كفر الدوار,96.44,3.56,198482,238,98806,99044,49.90,5516,93528,90194,3334
مركز كفر الدوار,97.58,2.42,334289,393,134640,135033,40.39,5683,129350,126222,3128
مركز كوم حماده,97.79,2.21,285006,379,158807,159186,55.85,4701,154485,151078,3407
مركز وادى النطرون,97.35,2.65,30972,48,12315,12363,39.92,460,11903,11587,316
مركز الرحمانيه,97.93,2.07,94985,146,48645,48791,51.37,1611,47180,46202,978
مركز ادكو,97.72,2.28,119681,152,58797,58949,49.26,2160,56789,55497,1292
مركز بدر,97.95,2.05,98326,114,45774,45888,46.67,1454,44434,43524,910
غرب النوباريه,96.72,3.28,20682,27,7966,7993,38.65,404,7589,7340,249
