district_name,C14p,C14p,Voters,workers,turnout,totalturnout,Percentage,Invalid,Valid,C14,C10
مرسى مطروح,94.97,5.03,113653,246,35558,35804,31.50,2906,32898,31243,1655
الحمام,94.10,5.90,38653,77,9367,9444,24.43,861,8583,8077,506
السلوم,94.65,5.35,8245,23,1931,1954,23.70,179,1775,1680,95
الضبعه,94.96,5.04,24006,107,5111,5218,21.74,512,4706,4469,237
سيدى برانى,96.80,3.20,18407,33,4515,4548,24.71,302,4246,4110,136
سيوه,93.87,6.13,13932,31,1833,1864,13.38,313,1551,1456,95
العلمين,94.41,5.59,5212,29,2017,2046,39.26,169,1877,1772,105
النجيله,93.55,6.45,8241,31,1259,1290,15.65,189,1101,1030,71
