district_name,C14p,C14p,Voters,workers,turnout,totalturnout,Percentage,Invalid,Valid,C14,C10
مركز اسوان,96.37,3.63,44259,52,14256,14308,32.33,532,13776,13276,500
مركز ادفو,97.71,2.29,272730,298,96617,96915,35.54,2552,94363,92204,2159
مركز كوم امبو,97.72,2.28,215706,255,75572,75827,35.15,1987,73840,72153,1687
مركز نصر النوبه,94.78,5.22,66241,149,19998,20147,30.41,1016,19131,18133,998
مركز دراو,97.10,2.90,78249,95,24691,24786,31.68,857,23929,23234,695
مركز ابوسمبل,95.04,4.96,2971,1,1033,1034,34.80,46,988,939,49
ثان اسوان,97.00,3.00,101988,123,38690,38813,38.06,1507,37306,36185,1121
اول اسوان,96.39,3.61,117214,150,51318,51468,43.91,2194,49274,47494,1780
