district_name,C14p,C10p,Voters,workers,turnout,totalturnout,Percentage,Invalid,Valid,C14,C10
اول دمياط,96.51,3.49,70557,92,40200,40292,57.11,1955,38337,36999,1338
مركز دمياط,97.66,2.34,225768,330,118074,118404,52.44,4668,113736,111071,2665
مركز فارسكور,97.88,2.12,168335,223,91746,91969,54.63,2616,89353,87455,1898
مركز كفر سعد,97.68,2.32,155089,226,84018,84244,54.32,2919,81325,79436,1889
دمياط الجديده,92.64,7.36,27536,38,12480,12518,45.46,854,11664,10806,858
مركز الزرقا,97.49,2.51,99970,180,55555,55735,55.75,2173,53562,52216,1346
راس البر,97.07,2.93,9477,6,5373,5379,56.76,184,5195,5043,152
ثان دمياط,96.99,3.01,85217,117,47222,47339,55.55,2047,45292,43930,1362
مركز كفر البطيخ,97.58,2.42,63649,71,31671,31742,49.87,1131,30611,29870,741
