اللجنة العامة,نسبة عبد الفتاح السيسي,نسبة حمدين صباحى,عدد المسجلين,العاملون باللجان,حضور المسجلين,إجمالي الحضور,نسبة المشاركة,الأصوات الباطلة,الأصوات الصحيحة,عبد الفتاح السيسي,حمدين صباحى
بنى سويف,96.22,3.78,161385,301,90849,91150,56.48,5032,86118,82859,3259
مركز بنى سويف,96.83,3.17,197463,336,91704,92040,46.61,4511,87529,84758,2771
بنى سويف الجديده,95.01,4.99,5087,8,2542,2550,50.13,203,2347,2230,117
مركز الفشن,95.90,4.10,215568,465,81777,82242,38.15,4394,77848,74655,3193
مركز الواسطى,95.78,4.22,233607,338,81848,82186,35.18,4731,77455,74186,3269
مركز اهناسيا,96.51,3.49,184643,279,64463,64742,35.06,3026,61716,59561,2155
مركز ببا,96.22,3.78,219533,349,84325,84674,38.57,5108,79566,76561,3005
مركز سمسطا,94.80,5.20,131544,250,45394,45644,34.70,3302,42342,40139,2203
مركز ناصر,96.39,3.61,182643,260,66312,66572,36.45,3033,63539,61247,2292
