اللجنة العامة,نسبة عبد الفتاح السيسي,نسبة حمدين صباحى,عدد المسجلين,العاملون باللجان,حضور المسجلين,إجمالي الحضور,نسبة المشاركة,الأصوات الباطلة,الأصوات الصحيحة,عبد الفتاح السيسي,حمدين صباحى
الشرق,96.91,3.09,35442,52,21961,22013,62.11,1031,20982,20333,649
العرب,97.24,2.76,54327,91,33282,33373,61.43,1780,31593,30721,872
المناخ,97.62,2.38,76342,112,45984,46096,60.38,2465,43631,42592,1039
بورفؤاد,95.74,4.26,56433,71,35321,35392,62.72,2866,32526,31141,1385
الضواحى,97.37,2.63,66003,106,39688,39794,60.29,2164,37630,36641,989
الجنوب,98.67,1.33,24539,50,12952,13002,52.99,262,12740,12570,170
ثان بورفؤاد,94.93,5.07,2633,4,1640,1644,62.44,144,1500,1424,76
الزهور,97.08,2.92,142762,229,89907,90136,63.14,5530,84606,82132,2474
