اللجنة العامة,نسبة عبد الفتاح السيسي,نسبة حمدين صباحى,عدد المسجلين,العاملون باللجان,حضور المسجلين,إجمالي الحضور,نسبة المشاركة,الأصوات الباطلة,الأصوات الصحيحة,عبد الفتاح السيسي,حمدين صباحى
المنيا,95.01,4.99,186775,261,92733,92994,49.79,6102,86892,82559,4333
مركز المنيا,96.64,3.36,348116,419,120270,120689,34.67,5963,114726,110868,3858
المنيا الجديده,92.53,7.47,3440,5,1858,1863,54.16,162,1701,1574,127
مركز ابوقرقاص,96.05,3.95,318257,381,106724,107105,33.65,6486,100619,96642,3977
مركز العدوه,94.26,5.74,135799,165,42071,42236,31.10,2823,39413,37150,2263
مركز بنى مزار,96.06,3.94,324765,378,116719,117097,36.06,6491,110606,106244,4362
مركز ديرمواس,95.06,4.94,199984,224,53386,53610,26.81,4076,49534,47089,2445
مركز سمالوط,96.23,3.77,388590,467,136924,137391,35.36,7753,129638,124752,4886
مركز مطاى,95.63,4.37,168429,194,75182,75376,44.75,4900,70476,67395,3081
مركز مغاغه,96.18,3.82,297432,353,97698,98051,32.97,5037,93014,89465,3549
ملوى,96.11,3.89,107041,115,50133,50248,46.94,2909,47339,45496,1843
مركز ملوى,95.49,4.51,372229,452,112108,112560,30.24,8083,104477,99760,4717
