district_name,C14p,C10p,Voters,workers,turnout,totalturnout,Percentage,Invalid,Valid,C14,C10
سوهاج اول,95.83,4.17,93195,156,47357,47513,50.98,2125,45388,43496,1892
مركز سوهاج,96.62,3.38,262817,467,91088,91555,34.84,3516,88039,85059,2980
مركز اخميم,95.81,4.19,195238,369,63885,64254,32.91,3191,61063,58503,2560
مركز البلينا,96.99,3.01,267002,411,84366,84777,31.75,3479,81298,78854,2444
مركز المراغه,96.36,3.64,202978,394,77094,77488,38.18,3400,74088,71389,2699
مركز المنشاه,96.74,3.26,203854,310,65665,65975,32.36,2847,63128,61070,2058
مركز دار السلام,97.07,2.93,197409,357,56703,57060,28.90,1868,55192,53574,1618
مركز جرجا,96.81,3.19,175043,278,55012,55290,31.59,2015,53275,51574,1701
مركز جهينه,96.11,3.89,130665,261,37120,37381,28.61,1914,35467,34086,1381
مركز ساقلته,95.27,4.73,104360,244,27443,27687,26.53,1235,26452,25200,1252
مركز طما,95.55,4.45,214895,425,73302,73727,34.31,3786,69941,66831,3110
مركز طهطا,95.69,4.31,153754,310,52383,52693,34.27,2360,50333,48163,2170
جرجا,97.18,2.82,83609,121,38854,38975,46.62,1578,37397,36343,1054
سوهاج ثان,95.99,4.01,70155,117,37064,37181,53.00,1714,35467,34043,1424
مركز العسيرات,97.19,2.81,95188,159,28504,28663,30.11,1075,27588,26813,775
الكوثر,93.94,6.06,170,4,66,70,41.18,4,66,62,4
طهطا,97.15,2.85,84580,119,40464,40583,47.98,1754,38829,37721,1108
