district_name,C14p,C14p,Voters,workers,turnout,totalturnout,Percentage,Invalid,Valid,C14,C10
مركز ارمنت,97.41,2.59,97683,142,41549,41691,42.68,1020,40671,39617,1054
مركز اسنا,97.75,2.25,240576,320,79643,79963,33.24,2427,77536,75792,1744
الاقصر,97.46,2.54,144364,179,70493,70672,48.95,2079,68593,66852,1741
مركز الاقصر,97.22,2.78,89531,109,33480,33589,37.52,1050,32539,31635,904
طيبه,96.48,3.52,41545,46,12104,12150,29.25,575,11575,11168,407
مركز القرنه,97.70,2.30,96673,142,43770,43912,45.42,1097,42815,41832,983
