district_name,C14p,C10p,Voters,workers,turnout,totalturnout,Percentage,Invalid,Valid,C14,C10
طور سيناء,94.60,5.40,27980,51,12169,12220,43.67,1124,11096,10497,599
راس  سدر,92.27,7.73,11495,18,4103,4121,35.85,410,3711,3424,287
ابورديس,93.13,6.87,9482,22,3684,3706,39.08,254,3452,3215,237
سانت كاترين,93.82,6.18,2969,11,1655,1666,56.11,129,1537,1442,95
شرم الشيخ,96.20,3.80,21799,50,12072,12122,55.61,319,11803,11354,449
دهب,89.08,10.92,6013,16,2568,2584,42.97,221,2363,2105,258
نويبع,93.81,6.19,4947,5,1997,2002,40.47,97,1905,1787,118
طابا,97.76,2.24,650,5,370,375,57.69,18,357,349,8
