district_name,C14p,C10p,Voters,workers,turnout,totalturnout,Percentage,Invalid,Valid,C14,C10
طنطا اول,97.07,2.93,184887,298,114444,114742,62.06,4338,110404,107169,3235
طنطا ثان,97.02,2.98,173420,273,104082,104355,60.17,4300,100055,97072,2983
مركز طنطا,98.31,1.69,387655,606,240339,240945,62.15,6622,234323,230355,3968
مركز السنطه,98.28,1.72,273532,399,167365,167764,61.33,4284,163480,160671,2809
المحله اول,97.04,2.96,176030,258,106784,107042,60.81,4058,102984,99937,3047
المحله ثان,97.18,2.82,195768,253,116890,117143,59.84,4786,112357,109187,3170
مركزالمحله الكبرى,98.51,1.49,430034,495,253368,253863,59.03,5897,247966,244264,3702
مركز بسيون,98.02,1.98,183531,284,100504,100788,54.92,2806,97982,96041,1941
مركز زفتى,98.15,1.85,320529,480,184867,185347,57.83,5180,180167,176841,3326
مركز سمنود,98.02,1.98,232878,294,133815,134109,57.59,3992,130117,127537,2580
مركز قطور,98.06,1.94,212049,266,115636,115902,54.66,3016,112886,110696,2190
مركز كفر الزيات,98.03,1.97,292816,456,177500,177956,60.77,5050,172906,169496,3410
