district_name_en,district_name,C13p,C9p,Voters,Valid,Invalid,Percentage,C9,C13
Giza,الجيزه,50.3,49.7,246770,121481,5444,51.4,60424,61057
El Dokki,الدقى,38.7,61.3,117127,60693,4191,55.4,37225,23468
El Aguza,العجوزه,43.5,56.5,219930,116778,5911,55.8,66034,50744
Imbaba,امبابه,47.1,52.9,499579,245568,10385,51.2,129880,115688
al warraq,الوراق,55.1,44.9,256879,130363,4297,52.4,58562,71801
Boulaq el Dakur,بولاق الدكرور,52.8,47.2,475283,230086,9759,50.5,108569,121517
El Hram,الهرم,53.1,46.9,299592,155728,6289,54.1,73113,82615
El Omraniya ,العمرانيه,47.5,52.5,202426,109369,4506,56.3,57458,51911
Al Talibiya,الطالبيه,53.3,46.7,156284,83014,3598,55.4,38743,44271
6th of October 1,6 اكتوبر اول,58.9,41.1,41271,24617,1513,63.3,10124,14493
6th of October 2,6 اكتوبر ثان,63.1,36.9,78634,46461,1804,61.4,17123,29338
Sheikh Zayed,الشيخ زايد,54.8,45.2,23608,14968,929,67.3,6767,8201
El Hawamdya,الحوامديه,70.5,29.5,98955,56194,1510,58.3,16577,39617
Bahariya Oasis,الواحات البحريه,77.9,22.1,21723,8950,116,41.7,1982,6968
Abu el-Nomros district,مركزابوالنمرس,69.6,30.4,150919,87045,2412,59.3,26453,60592
Awseem district,مركز اوسيم,70.9,29.1,173106,96715,2777,57.5,28097,68618
Badrasheen district,مركز البدرشين,75,25,235582,128362,3250,55.9,32100,96262
El Ayat district,مركز العياط,67.2,32.8,211279,116434,3594,56.8,38138,78296
Munsha'at Al-Qanatir,منشاه القناطر,74.8,25.2,230743,125199,3008,55.6,31491,93708
Kirdassa district,مركز كرداسه,80.7,19.3,210082,127935,2970,62.3,24717,103218
AL Saff district,مركز الصف,68.1,31.9,179540,100403,2271,57.2,32069,68334
Etfeeh district,مركز اطفيح,78.9,21.1,150471,77062,1729,52.4,16253,60809
