district_name_en,district_name,C13p,C9p,Voters,Valid,Invalid,Percentage,C9,C13
Arish 1,العريش اول,50.7,49.3,25988,13816,355,54.5,6814,7002
Arish 2,العريش ثان,63.5,36.5,36919,19957,628,55.8,7291,12666
Arish 3,العريش ثالث,58.3,41.7,18044,9218,270,52.6,3846,5372
Arish 4,العريش رابع,59.7,40.3,12708,6250,150,50.4,2520,3730
Beer al-Abd,بئر العبد,61.1,38.9,22539,12924,258,58.5,5024,7900
Hasna,الحسنه,80.6,19.4,5269,1416,36,27.6,274,1142
El Nakhl,نخل,69.7,30.3,2644,659,16,25.5,200,459
Sheikh Zuweid,الشيخ زويد,47.9,52.1,28204,8959,234,32.6,4672,4287
Rafah,رفح,63.4,36.6,28629,6418,185,23.1,2352,4066
Rummanah,رمانه,76.7,23.3,21559,14472,244,68.3,3370,11102
Al Qassima,القسيمه,78.7,21.3,4885,875,25,18.4,186,689
