district_name_en,district_name,C13p,C9p,Voters,Valid,Invalid,Percentage,C9,C13
El Menya,المنيا,51,49,180528,109667,3208,62.5,53759,55908
Malawa,ملوى,51.3,48.7,102424,59623,1475,59.7,29022,30601
El Menya el-Gedida,المنيا الجديده,57.2,42.8,2413,1746,43,74.1,748,998
Abu Qarqas,مركز المنيا,63.9,36.1,321247,166216,4329,53.1,60050,106166
Abu Qarqas district,مركز ابوقرقاص,61.1,38.9,297738,134769,4261,46.7,52401,82368
Beni Mazar district,مركز بنى مزار,69.9,30.1,300954,153807,4500,52.6,46223,107584
Deer Mawas district,مركز ديرمواس,73.8,26.2,189057,88774,3356,48.7,23233,65541
Samallut district,مركز سمالوط,61.6,38.4,360817,181347,6541,52.1,69583,111764
Al Adwah district,مركز العدوه,80.6,19.4,124112,63911,2070,53.2,12385,51526
Mataya district,مركز مطاى,61,39,157816,85885,2907,56.3,33499,52386
Magaga district,مركز مغاغه,70,30,274749,138716,4705,52.2,41566,97150
Malwa district,مركز ملوى,65.2,34.8,344960,148216,6212,44.8,51651,96565
