district_name_en,district_name,C13p,C9p,Voters,Valid,Invalid,Percentage,C9,C13
El Mansoura 1,المنصوره اول,45.8,54.2,203965,113669,5183,58.3,61639,52030
El Mlansoura 2,المنصوره ثان,46.9,53.1,161232,88281,3775,57.1,46857,41424
Mit Ghamr,ميت غمر,32.4,67.6,95133,52495,1750,57,35461,17034
Gamasa,جمصه,39,61,441,254,0,57.6,155,99
El Kordy,الكردى,29.5,70.5,26251,13156,243,51,9273,3883
El Mansoura district,مركز المنصوره,47.4,52.6,324464,182175,4547,57.5,95827,86348
Aga district,مركز اجا,37.6,62.4,289985,165823,4007,58.6,103403,62420
Sanbalaween district,مركز السنبلاوين,38.3,61.7,317727,173401,3670,55.7,106913,66488
El Matrya district,مركز المطريه,71.9,28.1,87470,40178,817,46.9,11301,28877
El Manzalah district,مركز المنزله,51.5,48.5,178552,81257,2140,46.7,39428,41829
Balqas district,مركز بلقاس,38.9,61.1,314235,138677,3478,45.2,84779,53898
Dikirnis district,مركز دكرنس,54.1,45.9,204606,108216,3119,54.4,49685,58531
Sharbeen district,مركز شربين,50.4,49.6,253691,122432,3175,49.5,60782,61650
Talkha district,مركز طلخا,45.9,54.1,226831,118095,3038,53.4,63931,54164
Mit Ghamr,مركز ميت غمر,37.4,62.6,348986,198148,5069,58.2,124044,74104
Menya Nasr district,مركز منيه النصر,46,54,147929,77070,2037,53.5,41614,35456
Gamalya distict,مركز الجماليه,56.3,43.7,71749,31113,701,44.3,13599,17514
Tmy Al Amdeed district,مركز تمى الامديد,42.7,57.3,104078,51099,1036,50.1,29278,21821
Mit Selseel district,مركز ميت سلسيل,49.9,50.1,41413,20689,588,51.4,10358,10331
Beni Abeed district,مركز بنى عبيد,38.9,61.1,77821,38697,861,50.8,23644,15053
Mahalla Damna district,مركز محله دمنه,50.1,49.9,34340,19199,590,57.6,9585,9614
Nabruh district,مركز نبروه,46.5,53.5,152685,70620,1419,47.2,37798,32822
