district_name_en,district_name,C13p,C9p,Voters,Valid,Invalid,Percentage,C9,C13
Hurghada 1,اول الغردقه,43.4,56.6,36247,17145,432,48.5,9699,7446
Hurghada 2,ثان الغردقه,46.5,53.5,81279,37475,1001,47.3,20042,17433
Safaga ,سفاجا,48.7,51.3,34646,12909,356,38.3,6619,6290
Ras Ghareb,راس  غارب,61.3,38.7,26123,11445,434,45.5,4434,7011
Marsa Alam,مرسى علم,63.4,36.6,5812,1408,48,25.1,516,892
Shalateen,شلاتين,66.2,33.8,8516,2186,70,26.5,738,1448
Al Qasir,القصير,51.4,48.6,31528,12223,346,39.9,5940,6283
