district_name_en,district_name,C13p,C9p,Voters,Valid,Invalid,Percentage,C9,C13
Assiout 1,أسيوط اول,49.9,50.1,160707,91568,2021,58.2,45889,45679
Assiout 2,أسيوط ثان,48.6,51.4,102714,63288,1616,63.2,32556,30732
Abu Teej,ابوتيج,55,45,47964,25128,580,53.6,11314,13814
Assiout district,مركز أسيوط,68.8,31.2,236715,99883,2759,43.4,31126,68757
Abu Abnoub,مركز ابنوب,65.4,34.6,173340,62894,1987,37.4,21777,41117
Abu Teej district,مركز ابوتيج,63.3,36.7,113592,37314,1089,33.8,13708,23606
Badara district,مركز البدارى,70.2,29.8,130278,46727,1554,37.1,13914,32813
Sahel Slim district,مركز ساحل سليم,61.1,38.9,85586,34785,1482,42.4,13522,21263
Ghanayem district,مركز الغنايم,81.1,18.9,65490,29688,918,46.7,5604,24084
Qawassiya district,مركز القوصيه,56.9,43.1,225143,96943,3527,44.6,41777,55166
Dairut district,مركز ديروط,64,36,264791,118365,4087,46.2,42607,75758
Sadafa district,مركز صدفا,55,45,93893,42155,1133,46.1,18980,23175
Manfalut district,مركز منفلوط,63.4,36.6,237734,95063,2836,41.2,34755,60308
EL Fath district,مركز الفتح,66.2,33.8,141445,57738,1248,41.7,19491,38247
