district_name_en,district_name,C13p,C9p,Voters,Valid,Invalid,Percentage,C9,C13
Sohag 1,سوهاج اول,46.7,53.3,90591,48422,948,54.5,25787,22635
Sohag 1,سوهاج ثان,41,59,64433,38422,3634,65.3,22680,15742
Garga,جرجا,44.9,55.1,78673,37120,742,48.1,20448,16672
Tahta,طهطا,47.5,52.5,76166,41578,842,55.7,21821,19757
El Kouthar,الكوثر,64.3,35.7,111,70,3,65.8,25,45
Bellina district,مركز البلينا,56.4,43.6,244250,72354,1731,30.3,31551,40803
Ikhmeem district,مركز اخميم,66,34,181390,77591,2290,44,26361,51230
Garga district,مركز جرجا,56.5,43.5,159750,46839,1302,30.1,20352,26487
Munsha'a district,مركز المنشاه,59,41,184985,65862,1681,36.5,26972,38890
Gehina district,مركز جهينه,69.7,30.3,120921,52605,1286,44.6,15919,36686
Sohag district,مركز سوهاج,58.1,41.9,242043,85279,2066,36.1,35697,49582
Saqatla district,مركز ساقلته,70.8,29.2,96623,37992,922,40.3,11079,26913
Dar Assalam district,مركز دار السلام,58.1,41.9,177299,53059,1755,30.9,22224,30835
Maraga district,مركز المراغه,59,41,189311,81739,2486,44.5,33478,48261
Tama district,مركز طما,61.7,38.3,200351,88358,1935,45.1,33837,54521
Tahta district,مركز طهطا,62.2,37.8,145395,60688,1770,43,22941,37747
Al Asirat district,مركز العسيرات,59.6,40.4,88154,24875,710,29,10045,14830
