district_name_en,district_name,C13p,C9p,Voters,Valid,Invalid,Percentage,C9,C13
El Fayum,الفيوم,62.4,37.6,230592,124185,3284,55.3,46699,77486
El Fayum district,مركز الفيوم,77.9,22.1,229333,121119,3547,54.4,26737,94382
Ibshway district,مركز ابشواى,84.1,15.9,184187,88182,2379,49.2,14025,74157
Atsa district,مركز اطسا,80.2,19.8,302241,137065,4907,47,27190,109875
Snusar district,مركز سنورس,79,21,263361,127069,4759,50.1,26673,100396
Tamiya district,مركز طاميه,79.5,20.5,184889,89562,2195,49.6,18334,71228
Yusuf al-Siddiq dstrict,مركز يوسف الصديق,86.9,13.1,154458,74148,2020,49.3,9677,64471
