district_name_en,district_name,C13p,C9p,Voters,Valid,Invalid,Percentage,C9,C13
Shubra El-Kheima 1,شبرا الخيمه اول,42.5,57.5,335645,191402,5927,58.8,110022,81380
Shubra El-Kheima 2,شبرا الخيمه ثان,48.8,51.2,345201,192163,5422,57.2,98358,93805
Banha,بنها,33.5,66.5,129056,72895,3233,59,48487,24408
Kayloub,قليوب,41.9,58.1,88302,49765,1864,58.5,28913,20852
El Khousous,الخصوص,41.7,58.3,66125,36930,884,57.2,21520,15410
Qaha,قها,32.1,67.9,25083,13974,349,57.1,9493,4481
Al Ubur,العبور,61.9,38.1,14741,9876,414,69.8,3763,6113
El Khanka,الخانكه,55.5,44.5,50356,26659,981,54.9,11857,14802
Banha district,مركز بنها,30.6,69.4,253848,147058,3853,59.4,102048,45010
el Khanka district,مركز الخانكه,56,44,184956,102181,2848,56.8,44971,57210
Al Anatir el khayria district,مركز القناطر الخيرية,38,62,229445,126827,3532,56.8,78612,48215
Shabeen Al Anatir district,مركز شبين القناطر,44.4,55.6,268782,153834,4182,58.8,85588,68246
Toukh center,مركز طوخ,40.7,59.3,307000,163987,4320,54.8,97264,66723
Kayloub district,مركز قليوب,37.2,62.8,187773,105965,2883,58,66517,39448
Kafr Shokr district,مركز كفر شكر,34.5,65.5,103817,67021,1870,66.4,43871,23150
