district_name_en,district_name,C13p,C9p,Voters,Valid,Invalid,Percentage,C9,C13
Zaqaziq 1,الزقازيق اول,40.9,59.1,116646,66727,2430,59.3,39445,27282
Zaqaziq 2,الزقازيق ثان,43.8,56.2,135904,78710,3130,60.2,44267,34443
El Qareen,القرين,73.7,26.3,42000,22712,311,54.8,5984,16728
El Qenayat,القنايات,45.5,54.5,30170,17426,419,59.1,9493,7933
Faquus,فاقوس,40.5,59.5,61681,32856,770,54.5,19558,13298
New Salihiya,الصالحيه الجديده,56,44,3548,2177,59,63,957,1220
10th of Ramadhan ,العاشر من رمضان,58.7,41.3,40458,25310,810,64.6,10454,14856
10th of Ramadahn 2,ثان العاشر من رمضان,58.5,41.5,40639,25390,711,64.2,10534,14856
Zaqaziq district,مركز الزقازيق,44.8,55.2,418782,241023,5666,58.9,133136,107887
Abu Hamed district,مركز ابوحماد,55.3,44.7,219195,120734,2781,56.3,53931,66803
Abu Kabeer district,مركز ابوكبير,51.4,48.6,217445,121457,2656,57.1,58988,62469
El Hasineyah district,مركز الحسينيه,39.3,60.7,163102,83514,1830,52.3,50683,32831
Belbees district,مركز بلبيس,46.2,53.8,381432,210573,5255,56.6,113349,97224
Dayreb Negm district,مركز ديرب نجم,37.1,62.9,244342,130787,2731,54.6,82235,48552
Fakuus district,مركز فاقوس,45.8,54.2,316907,162552,4450,52.7,88114,74438
Kafr Saqr district,مركز كفر صقر,40.4,59.6,154461,85213,1675,56.3,50807,34406
Menya El-Amh district,مركز منيا القمح,44.5,55.5,375821,219021,5572,59.8,121592,97429
Heeha district,مركز ههيا,56.2,43.8,140815,83892,1889,60.9,36752,47140
Mashtul El Souk district,مركز مشتول السوق,50.3,49.7,97675,50104,3999,55.4,24926,25178
El Ibrahymiya district,مركز الابراهيميه,40,60,87293,49434,1000,57.8,29651,19783
Awled Saqr district,مركز اولاد صقر,36.3,63.7,118926,55824,1129,47.9,35551,20273
San El Hagar district,مركز صان الحجر,36.4,63.6,47831,22412,407,47.7,14250,8162
Munshaat Abu Omar district,مركز منشاه ابوعمر,41.2,58.8,37521,20368,390,55.3,11978,8390
