district_name_en,district_name,C13p,C9p,Voters,Valid,Invalid,Percentage,C9,C13
Qena,قنا,52.9,47.1,136416,66885,4044,52,31484,35401
Qena district,مركز قنا,59.2,40.8,210791,57357,1367,27.9,23389,33968
Abu Tesht district,مركز ابوتشت,57,43,222114,64443,1701,29.8,27726,36717
Deshna district,مركز دشنا,48,52,186713,42672,1105,23.4,22172,20500
Qos district,مركز قوص,59.2,40.8,230528,72429,1838,32.2,29523,42906
Nagaa Hamada ,مركز نجع حمادى,52.5,47.5,296573,105988,2712,36.7,50333,55655
Na'ada district,مركز نقاده,53.7,46.3,98842,32450,713,33.6,15010,17440
Farshut district,مركز فرشوط,60.8,39.2,97686,34828,791,36.5,13645,21183
Qaft district,مركز قفط,61.2,38.8,76440,21892,587,29.4,8501,13391
El Waqf district,مركز الوقف,57.7,42.3,45008,15145,321,34.4,6412,8733
