district_name_en,district_name,C13p,C9p,Voters,Valid,Invalid,Percentage,C9,C13
Al Wahat Al Kharga,الواحات الخارجه,57.5,42.5,53810,27038,552,51.3,11490,15548
Markaz Baris,مركز باريس,66.7,33.3,7575,3603,80,48.6,1201,2402
El Farafrah district,مركز الفرافره,70.8,29.2,16264,5809,157,36.7,1697,4112
Al Wahat Al Dakhla,م الواحات الداخله,65.3,34.7,55290,23518,471,43.4,8154,15364
Balat district,مركز بلاط,82.5,17.5,8637,3041,60,35.9,533,2508
