district_name_en,district_name,C13p,C9p,Voters,Valid,Invalid,Percentage,C9,C13
Tanta 1,طنطا اول,31.4,68.6,177965,103987,3910,60.6,71287,32700
Tanta 2,طنطا ثان,36,64,166215,94599,4034,59.3,60536,34063
El-Mahalla 1,المحله اول,42.7,57.3,168734,96482,4031,59.6,55329,41153
El-Mahalla 2,المحله ثان,42.7,57.3,187869,105442,4612,58.6,60449,44993
Tanta district,مركز طنطا,31.9,68.1,364518,204957,4484,57.5,139549,65408
Kafr el-Zaiyat district,مركز كفر الزيات,35.1,64.9,280736,153573,4650,56.4,99676,53897
Bassioun district,مركز بسيون,43.1,56.9,173654,87785,1989,51.7,49979,37806
Attour district,مركز قطور,41.4,58.6,200651,100134,2127,51,58639,41495
Al-Santa district,مركز السنطه,31.2,68.8,254292,145229,2913,58.3,99985,45244
Samnud district,مركز سمنود,42.4,57.6,222246,121114,3294,56,69742,51372
El Mahalla El Kobra district,مركزالمحله الكبرى,38.1,61.9,404184,199173,5185,50.6,123373,75800
Zefta district,مركز زفتى,36.6,63.4,303602,163408,3874,55.1,103591,59817
