district_name_en,district_name,C13p,C9p,Voters,Valid,Invalid,Percentage,C9,C13
El Montazah 1,اول المنتزه,58.5,41.5,543399,290596,12038,55.7,120709,169887
El Montazah 2,ثان المنتزه,59.1,40.9,302151,157864,5947,54.2,64587,93277
Erralm 1,اول الرمل,51.4,48.6,257652,134408,7690,55.2,65368,69040
Erraml 2,ثان الرمل,65.1,34.9,342776,183768,6473,55.5,64202,119566
Sidi Gaber,سيدى جابر,47.8,52.2,201395,110951,6988,58.6,57952,52999
Bab Sharq,باب شرق,47,53,206352,104843,8513,54.9,55613,49230
Muharram Beik,محرم بك,52.9,47.1,315442,161056,7369,53.4,75891,85165
El Attareen,العطارين,44.1,55.9,56701,28155,1636,52.5,15733,12422
El Mnshya,المنشيه,42.8,57.2,33500,16091,830,50.5,9212,6879
El Gomrok,الجمرك,41.6,58.4,114158,53736,3180,49.9,31392,22344
Ellebben,اللبان,48.8,51.2,52952,23378,1149,46.3,11972,11406
karmooz,كرموز,50.1,49.9,135066,63772,2346,49,31837,31935
Mina El Basal,مينا البصل,62.1,37.9,231492,115114,4808,51.8,43584,71530
Eddekhila,الدخيله,66.2,33.8,222654,114919,4475,53.6,38898,76021
El Amrya 1,اول العامريه,75.4,24.6,141733,68544,1511,49.4,16836,51708
El Amrya 2,ثان العامريه,77.6,22.4,85546,38512,770,45.9,8617,29895
Borg El Arab,برج العرب,78.5,21.5,42423,21441,551,51.8,4614,16827
