district_name_en,district_name,C13p,C9p,Voters,Valid,Invalid,Percentage,C9,C13
Kafr Al-Sheikh 1,اول كفر الشيخ,50.3,49.7,68284,35476,1420,54,17647,17829
Kafr Al-Sheikh2,ثان كفر الشيخ,49,51,42882,22556,885,54.7,11497,11059
Dessouk,دسوق,36.3,63.7,80712,37252,1344,47.8,23727,13525
Bella,بيلا,43.4,56.6,50374,18898,630,38.8,10687,8211
Kafr Al-Sheikh district,مركز كفر الشيخ,52.7,47.3,249587,106658,2736,43.8,50399,56259
Fouh district,مركز فوه,45.3,54.7,104108,45444,1337,44.9,24839,20605
Hamoul district,مركز الحامول,61.2,38.8,156805,55361,1984,36.6,21459,33902
Bella district,مركز بيلا,47.4,52.6,127322,45170,1458,36.6,23767,21403
Berliss district,مركز البرلس,68.1,31.9,122598,43755,1921,37.3,13975,29780
Alleen district,مركز قلين,56,44,144073,68154,1361,48.2,29964,38190
Mtobass district,مركز مطوبس,58.4,41.6,137460,53531,1431,40,22295,31236
Riadh district,مركز الرياض,71,29,104941,40858,1242,40.1,11861,28997
Sidi Salem district,مركز سيدى سالم,65,35,232585,93521,2561,41.3,32765,60756
Dessouk district,مركز دسوق,53,47,233635,101371,2913,44.6,47609,53762
