district_name_en,district_name,C13p,C9p,Voters,Valid,Invalid,Percentage,C9,C13
Shibin El Kom,شبين الكوم,34,66,135193,86708,3074,66.4,57263,29445
Sers El Lyan,سرس الليان,28.4,71.6,37864,24601,662,66.7,17615,6986
Menuf,منوف,15.8,84.2,66239,40538,1376,63.3,34127,6411
Shibin El Kom district,مركز شبين الكوم,27,73,247581,149419,3375,61.7,109006,40413
Ashmoun district,مركز اشمون,22.2,77.8,406784,244049,5825,61.4,189992,54057
Bajour district,مركز الباجور,26.6,73.4,200517,123918,3050,63.3,90989,32929
Shuhadaa district,مركز الشهداء,33.8,66.2,173064,100816,2470,59.7,66710,34106
Birket El Sab district,مركز بركه السبع,26.5,73.5,163592,99237,2318,62.1,72977,26260
Tala district,مركز تلا,30,70,209899,112432,3277,55.1,78701,33731
Qouesna district,مركز قويسنا,28.2,71.8,251560,161735,4034,65.9,116128,45607
Menuf district,مركز منوف,28.9,71.1,225132,130998,3294,59.7,93138,37860
Sadat district,مركز السادات,59.1,40.9,87397,48814,1194,57.2,19942,28872
