district_name_en,district_name,Voters,Valid,Invalid,Percentage,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13
El Montazah 1,اول المنتزه,543704,314820,2434,58.4%,362,133,128,39369,69986,305,200,4612,42460,104868,47,1618,50732
El Montazah 2,ثان المنتزه,302355,168871,1516,56.4%,235,105,84,21369,35631,183,164,2116,21371,55374,52,887,31300
Erralm 1,اول الرمل,257777,155330,1217,60.7%,176,68,50,27518,31274,142,97,3163,18307,55826,31,810,17868
Erraml 2,ثان الرمل,342933,190720,2165,56.2%,268,146,97,24166,41044,160,196,2235,16691,60257,58,1011,44391
Sidi Gaber,سيدى جابر,201517,128642,815,64.2%,142,33,45,25087,26728,153,85,2936,18412,41079,15,678,13249
Bab Sharq,باب شرق,206413,122242,897,59.7%,190,29,60,24343,21405,139,105,2240,16762,43310,19,637,13003
Muharram Beik,محرم بك,315539,171340,1782,54.9%,428,106,111,30147,34208,244,174,2483,23932,54122,38,847,24500
El Attareen,العطارين,56709,32158,303,57.2%,54,14,13,7846,5201,38,61,543,3993,11221,9,139,3026
El Mnshya,المنشية,33513,18235,203,55.0%,27,8,6,4663,2616,22,14,295,1882,6796,4,81,1821
El Gomrok,الجمرك,114196,61257,881,54.4%,104,27,24,16121,8025,64,75,979,5830,22924,12,309,6763
Ellebben,اللبان,52958,25973,270,49.6%,56,18,14,6707,3589,38,47,295,2208,9572,8,133,3288
karmooz,كرموز,135084,66184,715,49.5%,224,47,43,15530,10094,57,80,696,9202,19287,21,274,10629
Mina El Basal,مينا البصل,231589,120656,1705,52.8%,273,106,65,20511,24832,109,158,1370,9938,37114,40,626,25514
Eddekhila,الدخيلة,222781,123318,1205,55.9%,240,67,37,16867,30382,107,75,1862,11719,36174,25,706,25057
El Amrya 1,اول العامرية,141770,58697,879,42.0%,122,54,32,6770,23120,101,66,541,5592,8056,23,255,13965
El Amrya 2,ثان العامرية,85560,31609,533,37.6%,65,38,20,3570,12239,63,36,215,2393,3416,9,133,9412
Borg El Arab,برج العرب,42433,19044,267,45.5%,32,26,11,2064,7677,18,12,238,1565,2376,6,82,4937
Total,الإجمالي,3286831,1809096,17787,55.6%,2998,1025,840,292648,388051,1943,1645,26819,212257,571772,417,9226,299455
