district_name_en,district_name,Voters,Valid,Invalid,Percentage,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13
El Mansoura 1,المنصورة اول,203988,121126,874,59.8%,116,51,77,12634,19864,101,51,1440,22199,46657,18,715,17203
El Mlansoura 2,المنصورة ثان,161251,93889,610,58.6%,62,26,47,9719,14663,93,27,1134,17524,35542,24,507,14521
Mit Ghamr,ميت غمر,95494,49067,651,52.1%,59,40,28,4196,5932,44,42,764,16905,14400,20,597,6040
Gamasa,جمصة,442,244,2,55.7%,0,0,0,25,21,1,1,5,80,63,0,0,48
El Kordy,الكردى,26253,10965,92,42.1%,9,11,4,988,924,10,11,72,4775,1784,3,30,2344
El Mansoura district,مركز المنصورة,324623,160262,2216,50.1%,171,162,91,16564,24841,135,149,1747,36803,36289,80,787,42443
Aga district,مركز اجا,290316,144145,2237,50.4%,167,133,99,10000,19804,154,179,1269,54208,28323,71,836,28902
,مركز السنبلاوين,318113,143599,2041,45.8%,149,127,105,8894,20949,117,121,1090,56706,23105,64,709,31463
,مركز المطرية,87472,37033,621,43.0%,64,42,17,5080,5482,32,45,197,1540,11172,16,134,13212
,مركز المنزلة,178568,72705,1069,41.3%,97,83,67,15281,12066,62,102,368,7916,16039,33,268,20323
,مركز بلقاس,314287,111885,1676,36.1%,190,152,101,13383,12251,94,165,792,30029,30005,88,414,24221
,مركز دكرنس,204671,97815,1499,48.5%,132,109,58,17759,14728,82,114,673,11186,24072,53,376,28473
,مركز شربين,253741,106074,1473,42.4%,145,98,84,16468,19467,87,160,768,16559,23492,56,455,28235
,مركز طلخا,226869,104098,1539,46.6%,165,104,96,12619,16069,133,106,846,22519,26626,70,498,24247
,مركز ميت غمر,350156,177404,2871,51.5%,203,220,110,8147,22184,153,152,1672,70805,31679,92,5630,36357
,مركز منية النصر,147948,66944,1156,46.0%,114,50,51,13689,10080,58,110,546,9968,12669,37,333,19239
,مركز الجمالية,71749,23205,434,32.9%,27,14,22,4902,5417,12,28,128,3092,2006,7,70,7480
,مركز تمى الامديد,104259,42413,722,41.4%,77,62,68,5718,5951,49,64,527,11200,7777,21,217,10682
,مركز ميت سلسيل,41413,17405,307,42.8%,27,16,7,2638,2645,11,17,94,2863,2687,15,59,6326
,مركز بنى عبيد,77869,30341,422,39.5%,46,44,30,5651,3868,17,38,209,8261,4723,19,115,7320
,مركز محلة دمنه,34361,17392,373,51.7%,23,19,15,1797,2896,14,22,114,3639,4465,3,80,4305
,مركز نبروه,152711,57217,839,38.0%,112,73,33,13135,7524,44,94,448,10118,10166,40,228,15202
,الإجمالي,3666554,1685228,23724,46.6%,2155,1636,1210,199287,247626,1503,1798,14903,418895,393741,830,13058,388586
