district_name_en,district_name,Voters,Valid,Invalid,Percentage,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13
Zaqaziq 1,الزقازيق اول,116674,66187,604,57.2%,44,24,31,4024,9962,59,20,683,22286,16477,17,379,12181
Zaqaziq 2,الزقازيق ثان,135955,79936,746,59.3%,52,38,45,4837,14141,81,41,1037,23197,21779,17,444,14227
El Qareen,القرين,42004,19849,246,47.8%,11,23,9,818,5012,12,14,113,2523,1428,5,65,9816
El Qenayat,القنايات,30217,15777,235,53.0%,19,14,7,423,2076,18,9,130,5443,3424,2,66,4146
Faquus,فاقوس,61699,30965,372,50.8%,19,23,12,3004,4800,17,15,284,10086,6363,2,113,6227
New Salihiya,الصالحية الجديدة,3551,2094,25,59.7%,1,2,1,115,381,3,2,18,487,311,1,19,753
10th of Ramadhan,العاشر من رمضان,40470,26288,166,65.4%,14,11,8,1736,5614,23,9,392,5628,5590,5,192,7066
10th of Ramadahn 2,ثان العاشر من رمضان,40651,25290,314,63.0%,13,11,13,1152,4334,19,4,222,6395,4337,4,177,8609
Zaqaziq district,مركز الزقازيق,419224,209575,3480,50.8%,229,177,147,6248,27899,163,150,1548,86086,24241,71,997,61619
Abu Hamed district,مركز ابو حماد,219343,105885,2381,49.4%,127,110,74,6006,13985,78,109,976,27411,14527,54,463,41965
Abu Kabeer distruct,مركز ابو كبير,217570,103005,1838,48.2%,131,91,71,3666,13938,83,60,742,33359,9526,54,306,40978
El Hasineyah district,مركز الحسينية,163149,68656,1543,43.0%,68,52,36,3637,8042,42,54,578,29197,4939,44,169,21798
Belbees district,مركز بلبيس,381582,185053,3495,49.4%,248,198,166,6417,22300,207,137,1512,71337,20341,106,1047,61037
Dayreb Negm ditrict,مركز ديرب نجم,244592,114230,1811,47.4%,114,69,62,3187,12200,86,74,1018,54489,14668,53,483,27727
Fakuus district,مركز فاقوس,317046,137369,2368,44.1%,178,133,109,8203,15173,84,137,872,49318,10493,91,492,52086
Kafr Saqr district,مركز كفر صقر,154541,72549,1233,47.7%,104,65,46,2224,6869,49,52,590,32058,8206,39,285,21962
Menya El-Amh district,مركز منيا القمح,376658,193862,3482,52.4%,200,172,158,5507,26263,173,122,1380,78995,22923,101,963,56905
Heeha district,مركز هيها,141002,74730,1504,54.1%,77,43,37,2991,8734,59,42,453,21551,7667,46,316,32714
Mashtul El Souk district,مركز مشتول السوق,97814,47630,794,49.5%,42,39,22,1140,5381,30,29,329,17696,4188,19,178,18537
El Ibrahymiya district,مركز الابراهيمية,87386,43263,613,50.2%,36,26,19,1014,4226,30,17,412,18965,3955,50,152,14361
Awled Saqr district,مركز اولاد صقر,118955,42257,824,36.2%,80,53,47,1657,4876,40,44,646,18895,3859,38,165,11857
San El Hagar district,مركز صان الحجر,47847,15596,416,33.5%,23,23,22,1088,2969,13,16,158,5696,1257,7,48,4276
Munshaat Abu Omar district,مركز منشأة ابو عمر,37521,15702,318,42.7%,20,19,12,631,1775,17,11,82,6721,547,18,41,5808
Total,الإجمالي,3495451,1695748,28808,49.3%,1850,1416,1154,69725,220950,1386,1168,14175,627819,211046,844,7560,536655
