district_name_en,district_name,Voters,Valid,Invalid,Percentage,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13
Damanhour,دمنهور,220770,132414,1413,60.6%,102,54,63,24664,23344,177,99,1428,14073,42699,41,592,25078
Kafr el-Dawar,كفر الدوار,188930,106534,1218,57.0%,112,78,48,21800,29958,92,111,934,7441,21625,34,481,23820
EL-Noubarya West,غرب النوبارية,14776,6190,177,43.1%,13,6,3,510,2063,5,8,66,621,570,1,30,2294
Abu el-Matameer district,مركز ابو المطامير,216704,79998,1743,37.7%,105,65,49,12981,25212,126,107,462,5655,2977,35,201,32023
Abu Hummus district,مركز ابو حمص,279183,103394,2549,37.9%,206,145,126,20103,35323,167,254,520,5712,6451,56,304,34027
Hush Isa district,مركز حوش عيسى,152832,64457,1600,43.2%,66,64,36,5604,22031,94,70,500,2261,2666,39,185,30841
Rasheed district,مركز رشيد,148101,63122,1093,43.4%,139,81,87,17581,12230,69,156,751,3726,13853,34,323,14092
Shobrakheet district,مركز شبراخيت,161983,66851,1337,42.1%,130,100,78,6139,10656,65,97,851,21272,8986,49,277,18151
Wadee el-Natrun district,مركز وادى النطرون,26313,11713,188,45.2%,12,10,4,1846,2378,12,11,84,2154,879,9,52,4262
Idku district,مركز ادكو,113477,51480,990,46.2%,76,60,40,13261,9649,45,97,449,2332,14106,32,231,11102
Kafr el-Dawar district,مركز كفر الدوار,315959,124689,2956,40.4%,221,202,122,26983,45364,222,306,854,4977,8990,79,390,35979
Damanhur district,مركز دمنهور,291535,105016,2301,36.8%,195,198,119,18833,23605,167,191,948,13791,10926,54,393,35596
Rahmaniya district,مركز الرحمانية,90636,28841,841,32.7%,108,63,39,5745,4866,38,92,330,5324,4789,32,155,7260
El Delengat district,مركز الدلنجات,208261,82608,1593,40.4%,108,93,52,14594,21094,135,113,805,9388,6051,48,264,29863
El Mahmudiya district,مركز المحمودية,163618,58471,925,36.3%,139,86,79,11797,8376,93,109,502,7827,15041,29,226,14167
Itay el Barud distrist,مركز ايتاى البارود,265496,114537,2493,44.1%,223,152,88,16021,23057,171,181,1100,28097,11972,59,504,32912
Kum Hamada district,مركز كوم حمادة,275153,127644,2213,47.2%,182,139,97,20599,26047,146,185,1403,29723,17941,69,519,30594
Badr district,مركز بدر,89166,38232,709,43.7%,43,42,38,4303,9227,56,45,326,7319,6001,20,198,10614
Total,الإجمالي,3222893,1366191,26339,43.2%,2180,1638,1168,243364,334480,1880,2232,12313,171693,196523,720,5325,392675
