district_name_en,district_name,Voters,Valid,Invalid,Percentage,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13
Shubra El-Kheima 1,شبرا الخيمة اول,336195,184959,2564,55.8%,172,158,128,12532,22535,219,118,1636,58971,47482,55,1378,39575
Shubra El-Kheima 2,شبرا الخيمة ثان,345818,181647,2572,53.3%,247,208,139,10855,22576,201,141,1793,50972,46658,65,1437,46355
Banha,بنها,129209,72927,681,57.0%,75,34,39,8765,10398,89,35,1205,20711,23166,17,472,7921
Kayloub,قليوب,88426,46380,763,53.3%,64,51,33,7257,6345,43,56,396,11347,11232,19,283,9254
El Khousous,الخصوص,66264,30832,532,47.3%,34,35,21,1142,2729,26,20,176,13529,4098,15,150,8857
Qaha,قها,25102,12377,170,50.0%,11,11,11,2583,1855,6,14,117,3838,2277,3,65,1586
Al Ubur,العبور,14772,10611,97,72.5%,12,2,13,749,2217,9,9,178,1998,2506,2,120,2796
El Khanka,الخانكة,50588,25108,454,50.5%,28,22,17,1915,4256,20,18,193,4741,6451,10,181,7256
Banha district,مركز بنها,255362,125821,1976,50.0%,149,118,103,13339,13213,123,115,1243,49690,24647,30,663,22388
el Khanka district,مركز الخانكة,185106,91876,1928,50.7%,142,107,97,8689,13626,84,100,697,20118,14654,57,556,32949
Al Anatir el khayria district,مركز القناطر الخيرية,229815,111438,1987,49.4%,138,109,80,30233,12205,117,114,1252,25495,16713,45,545,24392
Shabeen Al Anatir district,مركز شبين القناطر,269301,140375,2475,53.0%,217,122,105,12129,21839,141,146,1295,41727,27899,58,687,34010
Toukh center,مركز طوخ,307875,139460,2247,46.0%,236,159,159,22736,20372,138,163,1287,39048,23700,67,705,30690
Kayloub district,مركز قليوب,187897,91206,2146,49.7%,134,110,88,17826,8430,87,112,765,28946,10438,56,381,23833
Kafr Shokr district,مركز كفر شكر,104622,59719,745,57.8%,61,68,47,4702,8063,63,34,650,24422,10741,13,365,10490
Total,الإجمالي,2596352,1324736,21337,51.8%,1720,1314,1080,155452,170659,1366,1195,12883,395553,272662,512,7988,302352
