district_name_en,district_name,Voters,Valid,Invalid,Percentage,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13
Kafr Al-Sheikh 1,اول كفر الشيخ,68309,39435,414,58.3%,35,12,17,1844,5925,23,16,321,5206,21796,11,90,4139
Kafr Al-Sheikh2,ثان كفر الشيخ,42893,25280,352,59.8%,12,15,5,1013,3725,18,16,174,3139,14890,12,50,2211
Dessouk,دسوق,80804,41628,350,52.0%,32,10,60,3756,4041,28,29,361,5067,24358,12,113,3761
Bella,بيلا,50390,22013,171,44.0%,10,9,4,1006,1755,9,6,103,1998,15390,8,27,1688
Kafr Al-Sheikh district,مركز كفر الشيخ,249722,98134,2046,40.1%,129,112,47,2452,7992,56,118,339,8043,60466,87,131,18162
Fouh district,مركز فوه,104114,45167,538,43.9%,106,51,40,2581,3754,27,62,248,4688,25241,26,103,8240
Hamoul district,مركز الحامول,156827,68940,1088,44.7%,48,46,16,974,2499,29,50,177,2899,54053,45,46,8058
Bella district,مركز بيلا,127345,47795,755,38.1%,70,37,27,1059,2473,22,77,114,2924,34927,35,69,5961
Berliss district,مركز البرلس,122605,62157,990,51.5%,37,40,20,567,5143,44,35,129,2114,45980,87,97,7864
Alleen district,مركز قلين,144540,60088,858,42.2%,93,64,106,1397,6997,27,75,208,8107,29973,51,88,12902
Mtobass district,مركز مطوبس,137476,50486,932,37.4%,163,77,40,1959,3901,30,130,212,3698,25597,54,108,14517
Riadh district,مركز الرياض,104951,42447,733,41.1%,49,36,14,570,2920,18,51,156,1171,29695,37,41,7689
Sidi Salem district,مركز سيدى سالم,232636,82661,1354,36.1%,140,127,76,1276,9215,51,125,398,5067,49190,95,121,16780
Dessouk district,مركز دسوق,233868,97085,2113,42.4%,261,141,113,2452,6824,90,193,358,9274,55106,121,192,21960
Total,الإجمالي,1856480,783316,12694,42.9%,1185,777,585,22906,67164,472,983,3298,63395,486662,681,1276,133932
