district_name_en,district_name,Voters,Valid,Invalid,Percentage,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13
Tanta 1,طنطا اول,178042,104266,970,59.1%,94,44,47,8642,16060,112,53,1274,39521,28578,24,580,9237
Tanta 2,طنطا ثان,166273,96174,945,58.4%,97,59,58,10081,15845,102,64,1255,27584,28837,17,578,11597
El-Mahalla 1,المحلة اول,168762,96794,1241,58.1%,193,70,55,14643,13634,91,87,1064,17724,33865,24,630,14714
El-Mahalla 2,المحلة ثان,187915,107938,1369,58.2%,235,71,61,14521,15023,119,107,1079,20362,39459,38,669,16194
Tanta district,مركز طنطا,364938,178611,2193,49.5%,225,145,125,17040,27349,172,131,1630,74927,28309,65,896,27597
Kafr el-Zaiyat district,مركز كفر الزيات,281081,137261,2230,49.6%,207,116,115,18406,33049,124,140,1055,39320,23871,45,629,20184
Bassioun district,مركز بسيون,173891,76830,1185,44.9%,139,74,62,6623,11526,62,86,778,24461,12336,98,315,20270
Attour district,مركز قطور,200898,84721,1291,42.8%,183,97,62,5950,11277,81,86,682,28626,16333,59,354,20931
Al-Santa district,مركز السنطا,254781,126053,1633,50.1%,141,93,65,6860,16647,103,76,1299,58784,19318,37,707,21923
Samnud district,مركز سمنود,222304,108770,1595,49.6%,184,124,65,12941,14186,97,137,1065,27532,27439,47,466,24487
El Mahalla El Kobra district,مركز المحلة الكبرى,404289,166165,2980,41.8%,4718,209,173,27401,23512,156,272,1608,39397,34875,125,794,32925
Zefta district,مركز زفتى,304370,142532,2375,47.6%,208,113,108,7337,22351,137,108,1369,61199,20032,61,887,28622
Total,الإجمالي,2907544,1426115,20007,49.7%,6624,1215,996,150445,220459,1356,1347,14158,459437,313252,640,7505,248681
