district_name_en,district_name,Voters,Valid,Invalid,Percentage,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13
Luxor,الأقصر,138895,55405,684,40.4%,94,61,68,5651,8629,62,73,533,19581,11281,24,249,9099
Luxor district,مركز الأقصر,85479,24403,450,29.1%,103,69,30,3349,5453,46,65,282,4280,4373,26,167,6160
Tiba,طيبة,38868,10092,232,26.6%,48,28,26,1392,1584,23,26,130,1547,1047,12,47,4182
Qurna district,مركز القرنة,91628,28285,843,31.8%,101,85,67,6342,5429,68,78,331,4915,4897,38,159,5775
Aramant district,مركز ارمنت,92552,26347,584,29.1%,82,56,46,4523,5657,45,62,350,6213,3975,30,132,5176
Isna district,مركز اسنا,225495,60071,1505,27.3%,199,106,115,13586,11875,106,173,1043,10896,7198,69,366,14339
Total,الإجمالي,672917,204603,4298,31.0%,627,405,352,34843,38627,350,477,2669,47432,32771,199,1120,44731
