district_name_en,district_name,Voters,Valid,Invalid,Percentage,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13
Sohag 1,سوهاج اول,90606,41897,342,46.6%,67,50,57,4129,9565,49,55,456,14376,5945,9,245,6894
Sohag 1,سوهاج ثان,64441,38912,240,60.8%,27,13,21,2438,9134,29,28,460,16847,4847,3,193,4872
Garga,جرجا,78677,32024,496,41.3%,41,34,15,3876,6431,30,29,308,10818,2415,13,114,7900
Tahta,طهطا,76174,34568,591,46.2%,52,34,28,2215,5983,53,34,357,12967,2711,26,177,9931
El Kouthar,الكوثر,111,72,0,64.9%,0,0,0,2,25,0,0,2,16,9,0,0,18
Bellina district,مركز البلينا,244258,53362,1249,22.4%,152,108,93,15552,10324,92,143,475,9870,3003,37,200,13313
Ikhmeem district,مركز اخميم,181435,57846,1456,32.7%,161,127,90,5257,15814,104,124,507,13382,4144,52,314,17770
Garga district,مركز جرجا,159759,33666,992,21.7%,164,111,84,8593,4908,78,98,312,6761,1692,56,146,10663
Munsha'a district,مركز المنشأة,184992,48512,1150,26.8%,132,107,95,11317,8016,76,125,453,9469,3155,43,182,15342
Gehina district,مركز جهينة,120935,36232,852,30.7%,104,71,67,3801,9085,75,106,349,7432,1759,38,182,13163
Sohag district,مركز سوهاج,242092,62000,1587,26.3%,185,141,127,12052,11006,106,163,618,13722,3976,64,279,19561
Saqatla district,مركز ساقلتة,96639,26541,673,28.2%,102,57,63,2976,6487,52,69,163,4801,1564,30,101,10076
Dar Assalam district,مركز دار السلام,177311,34297,1207,20.0%,147,105,102,6895,7234,80,88,343,7820,1457,55,142,9829
Maraga district,مركز المراغا,189408,59429,1784,32.3%,199,134,132,7703,11974,133,137,547,15245,3404,91,350,19380
Tama district,مركز طما,200405,60916,1363,31.1%,190,122,94,5662,11154,105,98,654,18117,3996,78,316,20330
Tahta district,مركز طهطا,145453,43916,1343,31.1%,166,96,92,2964,6778,86,100,315,12698,2561,65,210,17785
Al Asirat district,مركز العسيرات,88155,16910,576,19.8%,59,44,42,4603,2257,30,53,177,3077,725,31,85,5727
Total,الإجمالي,2340851,681100,15901,29.8%,1948,1354,1202,100035,136175,1178,1450,6496,177418,47363,691,3236,202554
