district_name_en,district_name,Voters,Valid,Invalid,Percentage,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13
Assiout 1,أسيوط اول,160734,82774,1145,52.2%,110,87,86,4427,18460,91,72,859,29957,12454,32,497,15642
Assiout 2,أسيوط ثان,102745,58782,739,57.9%,61,53,52,3085,13255,59,34,726,21508,9041,23,392,10493
Abu Teej,ابو تيج,47987,20709,430,44.1%,34,20,22,2044,4036,29,23,207,6687,2410,16,133,5048
Assiout district,مركز أسيوط,236890,72788,2238,31.7%,300,205,151,7274,16220,152,156,583,14943,6340,108,478,25878
Abu Abnoub,مركز ابنوب,173382,42807,1473,25.5%,201,118,116,2431,9039,83,81,316,11737,2905,65,211,15504
Abu Teej district,مركز ابو تيج,113643,24772,775,22.5%,102,80,60,2676,4347,56,76,278,6424,1815,50,110,8698
Badara district,مركز البدارى,130361,34069,1044,26.9%,188,133,86,4650,8345,97,97,408,6312,3000,67,175,10511
Sahel Slim district,مركز ساحل سليم,85614,24258,1034,29.5%,120,90,66,2587,4181,83,56,195,7971,1316,49,118,7426
Ghanayem district,مركز الغنايم,65553,21057,803,33.3%,86,51,53,1384,4200,50,54,233,2956,1527,32,97,10334
Qawassiya district,مركز القوصية,225218,73935,3410,34.3%,332,214,197,7285,9851,180,228,766,23055,7642,115,363,23707
Dairut district,مركز ديروط,264997,85822,3485,33.7%,323,245,237,6185,16405,200,191,609,23350,6347,160,418,31152
Sadafa district,مركز صدفة,93994,29325,968,32.2%,102,85,62,2398,4921,69,88,275,10306,1652,44,125,9198
Manfalut district,مركز منفلوط,237775,66666,2133,28.9%,207,136,123,5239,13810,155,150,407,19447,4756,81,280,21875
EL Fath district,مركز الفتح,141498,42113,905,30.4%,173,137,80,4222,8936,60,99,473,8850,3812,49,243,14979
Total,الإجمالي,2080391,679877,20582,33.7%,2339,1654,1391,55887,136006,1364,1405,6335,193503,65017,891,3640,210445
