district_name_en,district_name,Voters,Valid,Invalid,Percentage,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13
Al Wahat Al Kharga,الواحات الخارجة,53818,23890,286,44.9%,80,65,78,3570,5705,38,47,282,3808,4142,11,137,5927
Markaz Baris,مركز باريس,7575,2983,82,40.5%,7,15,21,509,634,3,4,14,196,449,3,11,1117
El Farafrah district,مركز الفرافرة,16269,4678,111,29.4%,36,21,17,659,865,12,17,30,372,975,13,43,1618
Al Wa7at Al Dakhla,م الواحات الداخلة,55301,19826,418,36.6%,116,99,55,4380,5007,45,86,154,1959,1866,13,82,5964
Balat district,مركز بلاط,8638,2830,65,33.5%,17,18,10,288,1127,9,5,94,113,175,4,25,945
Total,الإجمالي,141601,54207,962,39.0%,256,218,181,9406,13338,107,159,574,6448,7607,44,298,15571
