district_name_en,district_name,Voters,Valid,Invalid,Percentage,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13
Marsa Matrouh,مرسى مطروح,102898,37077,365,36.4%,39,52,26,4642,18062,53,32,321,4008,4025,8,158,5651
 Negelah ,النجيله,7059,1570,26,22.6%,3,3,0,55,1361,3,0,5,4,7,0,2,127
Siwa,سيوة,12726,4741,65,37.8%,4,3,2,91,1790,7,4,11,24,26,5,6,2768
El Hammam,الحمام,33579,10498,201,31.9%,21,21,11,1073,4973,9,19,47,871,712,9,21,2711
El Alamein,العلمين,3937,1310,16,33.7%,2,3,1,216,769,0,3,10,48,61,0,2,195
El Salloum,السلوم,7568,1411,22,18.9%,2,0,0,101,831,1,1,7,80,25,0,0,363
Sidi Barrani,سيدى برانى,16266,2843,43,17.7%,4,11,4,239,2348,8,2,5,84,20,2,1,115
El Dabaa,الضبعة,20182,5450,86,27.4%,6,14,8,432,3397,9,7,33,300,115,2,7,1120
Total,الإجمالي,204215,64900,824,32.2%,81,107,52,6849,33531,90,68,439,5419,4991,26,197,13050
