district_name_en,district_name,Voters,Valid,Invalid,Percentage,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13
Ismailia 1,الإسماعيلية اول,40009,24055,291,60.9%,24,18,14,5132,4352,39,15,289,3401,7459,6,149,3157
Ismailia 2,الإسماعيلية ثان,148254,79784,910,54.4%,96,98,66,13843,13823,98,84,706,13456,22514,25,533,14442
Ismailia 3,الإسماعيلية ثالث,73296,48898,250,67.1%,33,24,36,7677,9658,62,34,636,6804,15892,5,373,7664
El Antara East,القنطرة شرق,27455,12156,135,44.8%,15,15,31,2369,1506,12,23,95,2205,1651,6,71,4157
Abu Sweer ,ابو صوير,83366,35771,671,43.7%,70,69,32,7420,5345,38,62,273,3737,5622,18,186,12899
Ismailia district,مركز الإسماعيلية,80459,40465,595,51.0%,73,86,48,9501,6622,39,51,389,3232,6437,16,240,13731
Fayed district,مركز فايد,68607,30346,403,44.8%,50,62,41,8492,4540,37,55,502,2723,4704,5,202,8933
Tall al kabir,مركز التل الكبير,110234,49586,800,45.7%,59,62,45,5878,10019,58,59,530,11801,4532,25,212,16306
El antara West district,مركز القنطرة غرب,68036,29325,550,43.9%,23,37,35,5676,3832,27,40,289,5018,2868,13,123,11344
Total,الإجمالي,699716,350386,4605,50.7%,443,471,348,65988,59697,410,423,3709,52377,71679,119,2089,92633
