district_name_en,district_name,Voters,Valid,Invalid,Percentage,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13
Arish 1,العريش اول,26006,13346,159,51.9%,11,14,25,3094,2344,16,20,223,2366,1631,4,80,3518
Arish 2,العريش ثان,36924,18780,295,51.7%,26,15,29,4056,3407,21,7,419,1849,2489,3,84,6375
Arish 3,العريش ثالث,18046,8382,89,46.9%,9,8,7,1721,1336,7,8,119,1299,1119,2,37,2710
Arish 4,العريش رابع,12710,5564,93,44.5%,12,8,8,1316,925,6,7,146,572,572,2,28,1962
Beer al-Abd,بئر العبد,22544,12213,165,54.9%,6,8,12,2992,2881,17,27,119,544,578,9,37,4983
Hasna,الحسنة,5269,1099,50,21.8%,5,4,4,156,113,2,5,4,52,30,4,4,716
El Nakhl,نخل,2644,589,35,23.6%,6,1,2,115,49,0,2,5,83,29,1,3,293
Sheikh Zuweid,الشيخ زويد,28205,7919,137,28.6%,16,20,18,3363,1345,9,24,67,643,431,12,22,1949
Rafah,رفح,28631,5503,101,19.6%,21,25,9,1885,891,7,12,62,560,303,4,28,1696
Rummanh,رمانة,21561,13396,256,63.3%,6,7,4,2099,2496,7,9,66,485,428,4,20,7765
Al Qassima,القسيمة,4885,714,35,15.3%,8,7,3,140,43,3,9,5,17,6,4,5,464
Total,الإجمالي,207425,87505,1415,42.9%,126,117,121,20937,15830,95,130,1235,8470,7616,49,348,32431
